Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
163, ,0.0156919989829166,1619.8994601373547, 
164, ,0.01573543493416,1803.5380251597085, 
165, ,0.015778991117495,2021.0960019612382, 
166, ,0.015822667865728,2281.414426245232, 
167, ,0.0158664655125864,2596.3905220017123, 
168, ,0.0159103843927215,2982.3262418652625, 
169, ,0.0159544248417107,3462.0176453163167, 
170, ,0.0159985871960605,4068.0833113157737, 
171, ,0.0160428717932089,4848.435355528503, 
172, ,0.0160872789715278,5875.598010291866, 
173, ,0.0161318090703257,7263.23837370678, 
174, ,0.0161764624298505,9196.897220699853, 
175, ,0.0162212393912917,11994.309485609525, 
176, ,0.0162661402967834,16231.584851492478, 
177, ,0.0163111654894066,23027.754918718358, 
178, ,0.0163563153131921,34746.53049468233, 
179, ,0.0164015901131228,56923.390790012665, 
180, ,0.0164469902351368,104292.20400069797, 
181, ,0.0164925160261295,222857.4326621653, 
182, ,0.0165381678339567,142338.7619437239, 
183, ,0.0165839460074369,72983.99892830219, 
184, ,0.0166298508963542,42501.87170373431, 
185, ,0.0166758828514611,27174.05000141996, 
186, ,0.0167220422244808,18625.80960347747, 
187, ,0.01676832936811,13459.726795526034, 
188, ,0.016814744636022,10134.009089133611, 
189, ,0.0168612883828688,7882.254295387513, 
190, ,0.0169079609642841,6293.982070941908, 
191, ,0.0169547627368861,5135.340091145705, 
192, ,0.0170016940582802,4266.043499089693, 
193, ,0.0170487552870614,3598.1860985879352, 
194, ,0.0170959467828177,3074.595600582712, 
195, ,0.017143268906132,2656.878055315891, 
196, ,0.0171907220185857,2318.5228706698867, 
197, ,0.0172383064827608,2040.773738919836, 
198, ,0.017286022662243,1810.0727327291452, 
199, ,0.0173338709216245,1616.4312038496969, 
200, ,0.0173818516265067,1452.3640158563564, 
201, ,0.0174299651435029,1312.1758744541005, 
202, ,0.0174782118402413,1191.4733108215773, 
203, ,0.0175265920853675,1086.824588366422, 
204, ,0.0175751062485479,995.5185855992595, 
205, ,0.0176237547004717,915.3911507230276, 
206, ,0.0176725378128546,844.6982417145813, 
